,app_name,bundle,description,genres,os_platform,lang_code,language_name,description_clean,description_token,description_keyword_list,keyword-1,keyword-2,keyword-3,keyword-4,keyword-5,keyword-6,keyword-7,keyword-8,keyword-9,keyword-10
0,爆料公社,1387765782,"全台最大社群「爆料公社」APP 上線啦，我們把社群解放了，不只有勁爆的爆料內容，還貼心的加上了遊戲化的功能，每個互動都可以獲得金幣，可以送禮物給你心儀的人，也可以跑夜店。

功能介紹：

- 小圈圈：讓一群有著相同興趣的朋友一起進入小圈圈討論聊是非，爆料公社旗下的社團，像是「爆廢公社」、「爆系故事館」、「美妝公社」，也將陸續在小圈圈中開放囉！而當你達到一定的等級也可以自己創屬於自己的小圈圈 ～

- 金幣：你在 APP 內的每個互動都可以獲得金幣，而這些金幣可以讓你在 APP 打賞給你心儀的對象或是喜歡的文章。

- 爆料夜店：三五成群一起進夜店打屁聊天，你在現實中做的到，在爆料公社 APP 內一樣也可以，在夜店中你可以自己當 DJ 播放歌曲，邀請你的三五好友一起進來狂歡！

- 好友地圖：想要知道你附近有哪些型男美女嗎？透過好友地圖立刻顯示你身邊的爆料好友，並且直接追蹤且私訊對方！在地圖中你可以還定時開啟寶箱來獲得金幣。",['Social Networking'],IOS,zh-tw,Chinese,"全台最大社群 爆料公社 APP 上線啦 我們把社群解放了 不只有勁爆的爆料內容 還貼心的加上了遊戲化的功能 每個互動都可以獲得金幣 可以送禮物給你心儀的人 也可以跑夜店 

功能介紹 

  小圈圈 讓一群有著相同興趣的朋友一起進入小圈圈討論聊是非 爆料公社旗下的社團 像是 爆廢公社   爆系故事館   美妝公社  也將陸續在小圈圈中開放囉 而當你達到一定的等級也可以自己創屬於自己的小圈圈 ～

  金幣 你在 APP 內的每個互動都可以獲得金幣 而這些金幣可以讓你在 APP 打賞給你心儀的對象或是喜歡的文章 

  爆料夜店 三五成群一起進夜店打屁聊天 你在現實中做的到 在爆料公社 APP 內一樣也可以 在夜店中你可以自己當 DJ 播放歌曲 邀請你的三五好友一起進來狂歡 

  好友地圖 想要知道你附近有哪些型男美女嗎 透過好友地圖立刻顯示你身邊的爆料好友 並且直接追蹤且私訊對方 在地圖中你可以還定時開啟寶箱來獲得金幣 ","全,台,最大,社群, ,爆料,公社, ,APP, ,上線,啦, ,我們,把,社群,解放,了, ,不,只有,勁,爆,的,爆料,內容, ,還貼,心,的,加上,了,遊戲化,的,功能, ,每個,互動,都,可以,獲得,金幣, ,可以,送禮物給,你,心儀,的,人, ,也,可以,跑,夜店, ,
,
,功能,介紹, ,
,
, , ,小圈圈, ,讓,一群,有著,相同,興趣,的,朋友,一起,進入,小圈圈,討論,聊,是非, ,爆料,公社,旗下,的,社團, ,像是, ,爆廢,公社, , , ,爆系,故事,館, , , ,美妝,公社, , ,也,將陸續,在,小圈圈,中開,放,囉, ,而當,你,達,到,一定,的,等,級,也,可以,自己,創屬,於,自己,的,小圈圈, ,～,
,
, , ,金幣, ,你,在, ,APP, ,內,的,每個,互動,都,可以,獲得,金幣, ,而,這些,金幣,可以,讓,你,在, ,APP, ,打賞給,你,心儀,的,對象,或是,喜歡,的,文章, ,
,
, , ,爆料,夜店, ,三五成群,一起,進夜店,打屁,聊天, ,你,在,現實,中,做,的,到, ,在,爆料,公社, ,APP, ,內一樣,也,可以, ,在,夜店,中,你,可以,自己,當, ,DJ, ,播放歌曲, ,邀請,你,的,三五,好友,一起,進來,狂歡, ,
,
, , ,好友,地圖, ,想要,知道,你,附近,有,哪些,型,男,美女,嗎, ,透過,好友,地圖,立刻,顯示,你,身邊,的,爆料,好友, ,並且,直接,追,蹤,且,私,訊,對,方, ,在,地圖,中,你,可以,還定,時開,啟寶箱,來,獲得,金幣, ","['爆料', '公社', '金幣', '小圈圈', '好友', 'app', '獲得', '地圖', '一起', '夜店']",爆料,公社,金幣,小圈圈,好友,app,獲得,地圖,一起,夜店
1,DJ多多 - MC喊麦社会摇,1039764887,"多多团队最新出品，中国最好用的dj音乐盒，最赞的dj播放器，登陆IOS平台啦！完美适配ios9，超劲爆DJ嗨曲、网络红歌、MC喊麦应有尽有，十万首DJ嗨曲装进你的手机，想听啥都有！ 
-资源超丰富
中文舞曲、英文舞曲、日韩舞曲、车载、夜店、苏荷、喊麦、电音、节奏、Remix、网络DJ、网络红歌，只有你想不到，没有找不到，dj猫都会叫！
-使用超简单
超方便！支持在线听、wifi批量下载听 
全免费！一键下载听，不耗流量不花钱","['Entertainment', 'Music']",IOS,zh-cn,Chinese,"多多团队最新出品 中国最好用的dj音乐盒 最赞的dj播放器 登陆IOS平台啦 完美适配ios  超劲爆DJ嗨曲 网络红歌 MC喊麦应有尽有 十万首DJ嗨曲装进你的手机 想听啥都有  
 资源超丰富
中文舞曲 英文舞曲 日韩舞曲 车载 夜店 苏荷 喊麦 电音 节奏 Remix 网络DJ 网络红歌 只有你想不到 没有找不到 dj猫都会叫 
 使用超简单
超方便 支持在线听 wifi批量下载听 
全免费 一键下载听 不耗流量不花钱","多多,团队,最新,出品, ,中国,最好,用,的,dj,音乐盒, ,最赞,的,dj,播放器, ,登陆,IOS,平台,啦, ,完美,适配,ios, , ,超劲,爆,DJ,嗨,曲, ,网络,红歌, ,MC,喊麦,应有尽有, ,十万,首,DJ,嗨,曲,装进,你,的,手机, ,想,听,啥,都,有, , ,
, ,资源,超,丰富,
,中文舞曲, ,英文舞曲, ,日,韩,舞曲, ,车载, ,夜店, ,苏荷, ,喊麦, ,电音, ,节奏, ,Remix, ,网络,DJ, ,网络,红歌, ,只有,你,想不到, ,没有,找,不到, ,dj,猫,都,会,叫, ,
, ,使用,超,简单,
,超,方便, ,支持,在线听, ,wifi,批量,下载,听, ,
,全免费, ,一键,下载,听, ,不耗,流量,不,花钱","['dj', '网络', '红歌', '喊麦', 'ios', '下载', '资源', '超劲', '播放器', '最好']",dj,网络,红歌,喊麦,ios,下载,资源,超劲,播放器,最好
2,句读 - 发现文字之美,1073431872,"句读-发现文字之美

精简的交互操作，简洁大方的UI设计，我们重新定义了句子应用。在这里只有句子，严肃的句子，励志的句子，唯美的句子，心动的句子，伤感的句子，愿你每天能遇到一句让你赏心的话，一幅悦目的图，更愿你因此天天有个好心情。

【自动续费会员说明】
1.会员权益：专属标识、清除广告、视频下载、历史浏览等。
2.订阅周期：1个月（连续包月），1年（连续包年）。
3.订阅价格：连续包月产品为每月12元；连续包年产品为每年108元。
4.付款：用户确认购买并付款后计入iTunes账户。
5.取消续订：如需取消续订，请在当前订阅周期到期前24小时以前，手动在iTunes/Apple ID设置管理中关闭自动续订功能。
6.续订：苹果iTunes账户会在到期前24小时内扣费，扣费成功后订阅周期顺延一个订阅周期。
7.隐私政策：https://judouapp.com/privacy_agreement.html
8.会员服务协议：http://h5.judouapp.com/jd/member_policy
9.自动续费服务协议：http://h5.judouapp.com/jd/subscribe_policy

官方微博: @句读App
微信公众号: 句读 (judouapp)
官网网址: judouapp.com","['Books', 'Education']",IOS,zh-cn,Chinese,"句读 发现文字之美

精简的交互操作 简洁大方的UI设计 我们重新定义了句子应用 在这里只有句子 严肃的句子 励志的句子 唯美的句子 心动的句子 伤感的句子 愿你每天能遇到一句让你赏心的话 一幅悦目的图 更愿你因此天天有个好心情 

 自动续费会员说明 
  会员权益 专属标识 清除广告 视频下载 历史浏览等 
  订阅周期  个月（连续包月）  年（连续包年） 
  订阅价格 连续包月产品为每月  元 连续包年产品为每年   元 
  付款 用户确认购买并付款后计入iTunes账户 
  取消续订 如需取消续订 请在当前订阅周期到期前  小时以前 手动在iTunes Apple ID设置管理中关闭自动续订功能 
  续订 苹果iTunes账户会在到期前  小时内扣费 扣费成功后订阅周期顺延一个订阅周期 
  隐私政策 https:  judouapp com privacy agreement html
  会员服务协议 http:  h  judouapp com jd member policy
  自动续费服务协议 http:  h  judouapp com jd subscribe policy

官方微博:  句读App
微信公众号: 句读 (judouapp)
官网网址: judouapp com","句读, ,发现,文字,之美,
,
,精简,的,交互,操作, ,简洁,大方,的,UI,设计, ,我们,重新,定义,了,句子,应用, ,在,这里,只有,句子, ,严肃,的,句子, ,励志,的,句子, ,唯美,的,句子, ,心动,的,句子, ,伤感,的,句子, ,愿,你,每天,能,遇到,一句,让,你,赏心,的话, ,一幅,悦目,的,图, ,更愿,你,因此,天天,有个,好,心情, ,
,
, ,自动,续费,会员,说明, ,
, , ,会员,权益, ,专属,标识, ,清除,广告, ,视频,下载, ,历史,浏览,等, ,
, , ,订阅,周期, , ,个,月,（,连续,包月,）, , ,年,（,连续,包年,）, ,
, , ,订阅,价格, ,连续,包月,产品,为,每月, , ,元, ,连续,包年,产品,为,每年, , , ,元, ,
, , ,付款, ,用户,确认,购买,并,付款,后,计入,iTunes,账户, ,
, , ,取消,续订, ,如需,取消,续订, ,请,在,当前,订阅,周期,到期,前, , ,小时,以前, ,手动,在,iTunes, ,Apple, ,ID,设置,管理,中,关闭,自动,续订,功能, ,
, , ,续订, ,苹果,iTunes,账户,会,在,到期,前, , ,小时,内扣,费, ,扣费,成功,后,订阅,周期,顺延,一个,订阅,周期, ,
, , ,隐私,政策, ,https,:, , ,judouapp, ,com, ,privacy, ,agreement, ,html,
, , ,会员,服务,协议, ,http,:, , ,h, , ,judouapp, ,com, ,jd, ,member, ,policy,
, , ,自动,续费,服务,协议, ,http,:, , ,h, , ,judouapp, ,com, ,jd, ,subscribe, ,policy,
,
,官方,微博,:, , ,句读,App,
,微信,公众,号,:, ,句读, ,(,judouapp,),
,官网,网址,:, ,judouapp, ,com","['句子', 'judouapp', '订阅', '续订', 'com', '周期', '连续', '自动', 'itunes', '句读']",句子,judouapp,订阅,续订,com,周期,连续,自动,itunes,句读
3,小熊英语百分.小学英语四年级上册(人教版PEP),com.zeronesky.primaryenglish.pep3q41,"您是否因为自己的发音不准或英语不好，在给孩子报听写的时候灰头灰脸？
==>   现在，您动下手指，其余交给『小熊英语百分』
您是否为自己的孩子英语学习时，找不到标准方便的学习语音而烦恼？
==>   现在，让孩子动下手指，其余交给『小熊英语百分』
从示范入手，重复听读模仿，加强拼读对比，关注整体信息，结合真实的场景，从而解决语音，词汇，语法这三要素问题，是小学生学习英语的一套行之有效方法。
同步教材，数据精确校对，离线数据，不需要联网，单词内置男声、女声发音，可自由切换，便于跟读模仿。
一边听原汁原味的英语朗读，一边看同步显示的单词、课文，句型；小熊英语百分点读帮助孩子夯实英语的听、说、读、写。
...产品功能及特点...
【1】课文、单词跟读
【2】单词男声女声发音自由设置
【3】单词背诵听写智能逐步提示，激发记忆
【4】重点句型提炼
【5】多场景，多类型听读
【6】提示音灵活配置
【7】中文释义显示适时切换
【8】语速灵活控制，让孩子听得更清楚，学的更准确
【9】界面简洁，操作直观便捷",['EDUCATION'],ANDROID,zh-cn,Chinese,"您是否因为自己的发音不准或英语不好 在给孩子报听写的时候灰头灰脸 
==>   现在 您动下手指 其余交给『小熊英语百分』
您是否为自己的孩子英语学习时 找不到标准方便的学习语音而烦恼 
==>   现在 让孩子动下手指 其余交给『小熊英语百分』
从示范入手 重复听读模仿 加强拼读对比 关注整体信息 结合真实的场景 从而解决语音 词汇 语法这三要素问题 是小学生学习英语的一套行之有效方法 
同步教材 数据精确校对 离线数据 不需要联网 单词内置男声 女声发音 可自由切换 便于跟读模仿 
一边听原汁原味的英语朗读 一边看同步显示的单词 课文 句型 小熊英语百分点读帮助孩子夯实英语的听 说 读 写 
   产品功能及特点   
   课文 单词跟读
   单词男声女声发音自由设置
   单词背诵听写智能逐步提示 激发记忆
   重点句型提炼
   多场景 多类型听读
   提示音灵活配置
   中文释义显示适时切换
   语速灵活控制 让孩子听得更清楚 学的更准确
   界面简洁 操作直观便捷","您,是否,因为,自己,的,发音,不准,或,英语,不好, ,在,给,孩子,报,听写,的,时候,灰头,灰脸, ,
,=,=,>, , , ,现在, ,您,动下,手指, ,其余,交给,『,小熊,英语,百分,』,
,您,是否,为,自己,的,孩子,英语,学习,时, ,找,不到,标准,方便,的,学习,语音,而,烦恼, ,
,=,=,>, , , ,现在, ,让,孩子,动下,手指, ,其余,交给,『,小熊,英语,百分,』,
,从,示范,入手, ,重复,听读,模仿, ,加强,拼读,对比, ,关注,整体,信息, ,结合,真实,的,场景, ,从而,解决,语音, ,词汇, ,语法,这,三要素,问题, ,是,小学生,学习,英语,的,一套,行之有效,方法, ,
,同步,教材, ,数据,精确,校对, ,离线,数据, ,不,需要,联网, ,单词,内置,男声, ,女声,发音, ,可,自由,切换, ,便于,跟读,模仿, ,
,一边,听,原汁原味,的,英语,朗读, ,一边,看,同步,显示,的,单词, ,课文, ,句型, ,小熊,英语,百分点,读,帮助,孩子,夯实,英语,的,听, ,说, ,读, ,写, ,
, , , ,产品,功能,及,特点, , , ,
, , , ,课文, ,单词,跟读,
, , , ,单词,男声,女声,发音,自由,设置,
, , , ,单词,背诵,听写,智能,逐步,提示, ,激发,记忆,
, , , ,重点,句型,提炼,
, , , ,多,场景, ,多,类型,听读,
, , , ,提示音,灵活,配置,
, , , ,中文,释义,显示,适时,切换,
, , , ,语速,灵活,控制, ,让,孩子,听得,更,清楚, ,学,的,更,准确,
, , , ,界面,简洁, ,操作,直观,便捷","['英语', '单词', '孩子', '发音', '小熊', '学习', '女声', '模仿', '句型', '同步']",英语,单词,孩子,发音,小熊,学习,女声,模仿,句型,同步
4,喵喵影視,com.dmu88.flobber,"可以通過喵喵影視搜索功能搜到更多海量高清電影電視劇。
《热爱的 亲爱的》、《长安十二时辰》、《大宋少年志》、《陈情令》、《九州缥缈录》、 《轮到你了》、《宸汐缘》、《我的莫格利男孩》、《俗女養成記》、《小女花不棄》、《火王之破曉之戰》、《延禧攻略》、《知否知否應是綠肥紅瘦》等熱播劇盡在喵喵影視。
支持離線觀看
新增綜藝，動漫節目《极限挑战》、《海贼王》等。",['VIDEO_PLAYERS'],ANDROID,zh-tw,Chinese,"可以通過喵喵影視搜索功能搜到更多海量高清電影電視劇 
《热爱的 亲爱的》 《长安十二时辰》 《大宋少年志》 《陈情令》 《九州缥缈录》  《轮到你了》 《宸汐缘》 《我的莫格利男孩》 《俗女養成記》 《小女花不棄》 《火王之破曉之戰》 《延禧攻略》 《知否知否應是綠肥紅瘦》等熱播劇盡在喵喵影視 
支持離線觀看
新增綜藝 動漫節目《极限挑战》 《海贼王》等 ","可以,通過,喵,喵,影視,搜索,功能,搜到,更,多,海量,高清,電影,電視劇, ,
,《,热爱,的, ,亲爱,的,》, ,《,长安,十二,时辰,》, ,《,大宋,少年,志,》, ,《,陈情,令,》, ,《,九州,缥缈,录,》, , ,《,轮到,你,了,》, ,《,宸,汐缘,》, ,《,我,的,莫,格利,男孩,》, ,《,俗女養,成記,》, ,《,小女,花不棄,》, ,《,火王,之破曉之戰,》, ,《,延禧,攻略,》, ,《,知否,知否,應,是,綠肥紅,瘦,》,等,熱播劇,盡,在,喵,喵,影視, ,
,支持,離線,觀看,
,新增,綜藝, ,動漫,節目,《,极限,挑战,》, ,《,海贼王,》,等, ","['影視', '知否', '九州', '火王', '热爱', '熱播劇', '男孩', '節目', '綜藝', '綠肥紅']",影視,知否,九州,火王,热爱,熱播劇,男孩,節目,綜藝,綠肥紅
5,恐龙乐园积木拼图游戏- 恐龙智力拼图 - 巧虎之家智力开发恐龙拼图游戏免费,1116868647,"恐龙智力拼图精选了各种恐龙形象来作为小朋友智力拼图游戏,宗旨在于让小朋友在玩耍里学习，在快乐中进步。

拼图是宝宝最喜欢的恐龙哦！本应用适合5岁以下儿童使用。

爸爸妈妈们一起加入吧，亲子互动就此开始啦：Ready Go！","['Games_Trivia', 'Education']",IOS,zh-cn,Chinese,"恐龙智力拼图精选了各种恐龙形象来作为小朋友智力拼图游戏,宗旨在于让小朋友在玩耍里学习 在快乐中进步 

拼图是宝宝最喜欢的恐龙哦 本应用适合 岁以下儿童使用 

爸爸妈妈们一起加入吧 亲子互动就此开始啦 Ready Go ","恐龙,智力,拼图,精选,了,各种,恐龙,形象,来,作为,小朋友,智力,拼图游戏,,,宗旨,在于,让,小朋友,在,玩耍,里,学习, ,在,快乐,中,进步, ,
,
,拼图,是,宝宝,最,喜欢,的,恐龙,哦, ,本,应用,适合, ,岁,以下,儿童,使用, ,
,
,爸爸妈妈,们,一起,加入,吧, ,亲子,互动,就此,开始,啦, ,Ready, ,Go, ","['恐龙', '智力', '拼图', '小朋友', 'ready', '进步', '精选', '玩耍', '爸爸妈妈', '拼图游戏']",恐龙,智力,拼图,小朋友,ready,进步,精选,玩耍,爸爸妈妈,拼图游戏
6,篆书查询,914953357,"篆书查询是为书法及篆刻爱好者开发的书法类应用
主要功能：
1 支持简体/繁体字至小篆的查询
2 支持多字查询
3 支持屏幕截图，方便书友间交流
4 支持反书，方便篆刻爱好者","['Education', 'Entertainment']",IOS,zh-cn,Chinese,"篆书查询是为书法及篆刻爱好者开发的书法类应用
主要功能 
  支持简体 繁体字至小篆的查询
  支持多字查询
  支持屏幕截图 方便书友间交流
  支持反书 方便篆刻爱好者","篆书,查询,是,为,书法,及,篆刻,爱好者,开发,的,书法,类,应用,
,主要,功能, ,
, , ,支持,简体, ,繁体字,至,小篆,的,查询,
, , ,支持,多字,查询,
, , ,支持,屏幕,截图, ,方便,书友,间,交流,
, , ,支持,反书, ,方便,篆刻,爱好者","['支持', '查询', '书法', '篆刻', '爱好者', '方便', '主要', '截图', '篆书', '简体']",支持,查询,书法,篆刻,爱好者,方便,主要,截图,篆书,简体
7,宝宝打地鼠,998087259,"游戏开始，小老鼠从洞中钻出，小朋友用锤子击打老鼠，在规定时间内，击中老鼠越多，分数越高，整个打老鼠游戏的过程紧张刺激，引人入胜，既可培养孩子们的
反应能力，又能培养孩子的判断和协调能力，还能陶冶孩子们的情操。","['Education', 'Games_Family', 'Games_Trivia']",IOS,zh-cn,Chinese,"游戏开始 小老鼠从洞中钻出 小朋友用锤子击打老鼠 在规定时间内 击中老鼠越多 分数越高 整个打老鼠游戏的过程紧张刺激 引人入胜 既可培养孩子们的
反应能力 又能培养孩子的判断和协调能力 还能陶冶孩子们的情操 ","游戏,开始, ,小老鼠,从洞,中,钻出, ,小朋友,用,锤子,击打,老鼠, ,在,规定,时间,内, ,击中,老鼠,越,多, ,分数,越高, ,整个,打,老鼠,游戏,的,过程,紧张,刺激, ,引人入胜, ,既,可,培养,孩子,们,的,
,反应,能力, ,又,能,培养,孩子,的,判断,和,协调,能力, ,还,能,陶冶,孩子,们,的,情操, ","['老鼠', '孩子', '能力', '培养', '游戏', '从洞', '整个', '锤子', '钻出', '过程']",老鼠,孩子,能力,培养,游戏,从洞,整个,锤子,钻出,过程
8,多彩小魔仙,1013798532,"多彩小魔仙 - 认识颜色，右脑开发，培养创造力

------
填色系列游戏，开发宝宝的右脑智慧，培养宝宝的创造力和宝宝的想像力。
可爱的卡通形象，认识颜色，让宝宝酷爱填色。

本填色游戏包含28种颜色，每个都带真人读音。

玩法：画面右侧是调色盘，点选颜色，点击图上的色块，即可填上选中的颜色。二指可以缩小放大画面。","['Education', 'Games_Puzzle']",IOS,zh-cn,Chinese,"多彩小魔仙   认识颜色 右脑开发 培养创造力

      
填色系列游戏 开发宝宝的右脑智慧 培养宝宝的创造力和宝宝的想像力 
可爱的卡通形象 认识颜色 让宝宝酷爱填色 

本填色游戏包含  种颜色 每个都带真人读音 

玩法 画面右侧是调色盘 点选颜色 点击图上的色块 即可填上选中的颜色 二指可以缩小放大画面 ","多彩,小,魔仙, , , ,认识,颜色, ,右脑,开发, ,培养,创造力,
,
, , , , , , ,
,填色,系列,游戏, ,开发,宝宝,的,右脑,智慧, ,培养,宝宝,的,创造力,和,宝宝,的,想像力, ,
,可爱,的,卡通,形象, ,认识,颜色, ,让,宝宝,酷爱,填色, ,
,
,本,填色,游戏,包含, , ,种颜色, ,每个,都,带,真人,读音, ,
,
,玩法, ,画面,右侧,是,调色盘, ,点选,颜色, ,点击,图上,的,色块, ,即可,填,上,选中,的,颜色, ,二指,可以,缩小,放大,画面, ","['颜色', '宝宝', '填色', '右脑', '创造力', '认识', '画面', '培养', '开发', '游戏']",颜色,宝宝,填色,右脑,创造力,认识,画面,培养,开发,游戏
9,伊人小说,com.yiren.reader,"拥有海量热门畅销小说，类型丰富，内容覆盖都市爱情、校园言情、搞笑二次元、豪门宅斗、灵异仙侠、宫斗重生、言情小说，穿越小说，霸道总裁、宫斗小说、玄幻修真、歷史军事、科幻灵异、恐怖悬疑，总有一款拨动你的心弦。拒绝书荒，万部原创小说应有尽有！
伊人小说---热门火爆小说APP，刺激你的阅读感官！",['BOOKS_AND_REFERENCE'],ANDROID,zh-cn,Chinese,"拥有海量热门畅销小说 类型丰富 内容覆盖都市爱情 校园言情 搞笑二次元 豪门宅斗 灵异仙侠 宫斗重生 言情小说 穿越小说 霸道总裁 宫斗小说 玄幻修真 歷史军事 科幻灵异 恐怖悬疑 总有一款拨动你的心弦 拒绝书荒 万部原创小说应有尽有 
伊人小说   热门火爆小说APP 刺激你的阅读感官 ","拥有,海量,热门,畅销小说, ,类型,丰富, ,内容,覆盖,都市,爱情, ,校园,言情, ,搞笑,二次元, ,豪门,宅斗, ,灵异,仙侠, ,宫斗,重生, ,言情小说, ,穿越,小说, ,霸道,总裁, ,宫斗,小说, ,玄幻,修真, ,歷史,军事, ,科幻,灵异, ,恐怖,悬疑, ,总有,一款,拨动,你,的,心弦, ,拒绝,书荒, ,万部,原创,小说,应有尽有, ,
,伊人,小说, , , ,热门,火爆,小说,APP, ,刺激,你,的,阅读,感官, ","['小说', '灵异', '热门', '宫斗', '拒绝', '玄幻', '搞笑', '校园', '歷史', '火爆']",小说,灵异,热门,宫斗,拒绝,玄幻,搞笑,校园,歷史,火爆
10,"All汉语词典, Chinese ⇔ Chinese",com.copyharuki.chinesechinesedictionaries,"■ 输入一个字，搜索很多汉语词典[字典]同时进行。
■ 汉语词典[字典]
- 百科
- 911查询
- 查字典
- 词典网
- 第一范文
- Eduu
- 中华博物
- 汉字字典
- 汉文学网
- 查查
- 爱词霸
- 新东方
- 字典通
- 维基词典
- 维基百科
- 网页[Google]
- 新闻[Google]
- 图片[Google]
- 图书[Google]",['EDUCATION'],ANDROID,zh-cn,Chinese,"■ 输入一个字 搜索很多汉语词典[字典]同时进行 
■ 汉语词典[字典]
  百科
     查询
  查字典
  词典网
  第一范文
  Eduu
  中华博物
  汉字字典
  汉文学网
  查查
  爱词霸
  新东方
  字典通
  维基词典
  维基百科
  网页[Google]
  新闻[Google]
  图片[Google]
  图书[Google]","■, ,输入,一个,字, ,搜索,很多,汉语,词典,[,字典,],同时,进行, ,
,■, ,汉语,词典,[,字典,],
, , ,百科,
, , , , , ,查询,
, , ,查字典,
, , ,词典,网,
, , ,第一,范文,
, , ,Eduu,
, , ,中华,博物,
, , ,汉字,字典,
, , ,汉,文学网,
, , ,查查,
, , ,爱,词霸,
, , ,新东方,
, , ,字典,通,
, , ,维基,词典,
, , ,维基百科,
, , ,网页,[,Google,],
, , ,新闻,[,Google,],
, , ,图片,[,Google,],
, , ,图书,[,Google,]","['google', '词典', '字典', '汉语', 'eduu', '输入', '词霸', '范文', '网页', '维基百科']",google,词典,字典,汉语,eduu,输入,词霸,范文,网页,维基百科
